TTL=1, Proto=UDP, Hop=10.209.64.1, RTT=13.91ms
TTL=1, Proto=TCP, Hop=10.209.64.1, RTT=8.51ms
TTL=1, Proto=ICMP, Hop=10.209.64.1, RTT=6.14ms
TTL=1, Proto=UDP, Hop=10.209.64.1, RTT=6.49ms
TTL=1, Proto=TCP, Hop=10.209.64.1, RTT=6.08ms
TTL=1, Proto=ICMP, Hop=10.209.64.1, RTT=6.31ms
TTL=2, Proto=UDP, Hop=10.213.33.25, RTT=8.11ms
TTL=2, Proto=TCP, Hop=10.213.33.25, RTT=6.74ms
TTL=2, Proto=ICMP, Hop=10.213.33.33, RTT=8.29ms
TTL=2, Proto=UDP, Hop=10.213.33.25, RTT=7.91ms
TTL=2, Proto=TCP, Hop=10.213.33.25, RTT=7.21ms
TTL=2, Proto=ICMP, Hop=10.213.33.33, RTT=7.79ms
TTL=3, Proto=UDP, Hop=*, RTT=1042.98ms
TTL=3, Proto=TCP, Hop=10.213.32.41, RTT=12.92ms
TTL=3, Proto=ICMP, Hop=10.213.32.41, RTT=10.40ms
TTL=3, Proto=UDP, Hop=*, RTT=1015.61ms
TTL=3, Proto=TCP, Hop=*, RTT=1062.03ms
TTL=3, Proto=ICMP, Hop=10.213.32.41, RTT=16.88ms
TTL=4, Proto=UDP, Hop=*, RTT=1027.14ms
TTL=4, Proto=TCP, Hop=*, RTT=1035.65ms
TTL=4, Proto=ICMP, Hop=10.213.32.21, RTT=21.10ms
TTL=4, Proto=UDP, Hop=*, RTT=1027.23ms
TTL=4, Proto=TCP, Hop=*, RTT=1040.54ms
TTL=4, Proto=ICMP, Hop=10.213.32.21, RTT=19.66ms
TTL=5, Proto=UDP, Hop=*, RTT=1024.19ms
TTL=5, Proto=TCP, Hop=*, RTT=1029.27ms
TTL=5, Proto=ICMP, Hop=202.76.48.118, RTT=43.75ms
TTL=5, Proto=UDP, Hop=*, RTT=1019.82ms
TTL=5, Proto=TCP, Hop=*, RTT=1016.76ms
TTL=5, Proto=ICMP, Hop=202.76.48.118, RTT=54.18ms
TTL=6, Proto=UDP, Hop=*, RTT=1033.61ms
TTL=6, Proto=TCP, Hop=*, RTT=1023.66ms
TTL=6, Proto=ICMP, Hop=202.76.18.76, RTT=50.35ms
TTL=6, Proto=UDP, Hop=*, RTT=1023.18ms
TTL=6, Proto=TCP, Hop=*, RTT=1049.60ms
TTL=6, Proto=ICMP, Hop=202.76.18.76, RTT=47.44ms
TTL=7, Proto=UDP, Hop=*, RTT=1015.47ms
TTL=7, Proto=TCP, Hop=*, RTT=1065.54ms
TTL=7, Proto=ICMP, Hop=202.76.18.62, RTT=49.26ms
TTL=7, Proto=UDP, Hop=*, RTT=1040.16ms
TTL=7, Proto=TCP, Hop=*, RTT=1027.02ms
TTL=7, Proto=ICMP, Hop=202.76.18.62, RTT=55.46ms
TTL=8, Proto=UDP, Hop=*, RTT=1061.95ms
TTL=8, Proto=TCP, Hop=*, RTT=1039.17ms
TTL=8, Proto=ICMP, Hop=123.255.90.205, RTT=52.64ms
TTL=8, Proto=UDP, Hop=*, RTT=1025.03ms
TTL=8, Proto=TCP, Hop=*, RTT=1016.91ms
TTL=8, Proto=ICMP, Hop=123.255.90.205, RTT=49.10ms
TTL=9, Proto=UDP, Hop=*, RTT=1032.43ms
TTL=9, Proto=TCP, Hop=*, RTT=1039.95ms
TTL=9, Proto=ICMP, Hop=216.239.49.147, RTT=49.33ms
TTL=9, Proto=UDP, Hop=*, RTT=1027.31ms
TTL=9, Proto=TCP, Hop=*, RTT=1060.83ms
TTL=9, Proto=ICMP, Hop=216.239.49.147, RTT=53.45ms
TTL=10, Proto=UDP, Hop=*, RTT=1027.19ms
TTL=10, Proto=TCP, Hop=*, RTT=1029.45ms
TTL=10, Proto=ICMP, Hop=142.251.245.17, RTT=49.89ms
TTL=10, Proto=UDP, Hop=*, RTT=1029.76ms
TTL=10, Proto=TCP, Hop=*, RTT=1031.71ms
TTL=10, Proto=ICMP, Hop=142.251.245.17, RTT=50.15ms
TTL=11, Proto=UDP, Hop=*, RTT=1047.97ms
TTL=11, Proto=TCP, Hop=*, RTT=1029.98ms
TTL=11, Proto=ICMP, Hop=8.8.8.8, RTT=51.86ms
TTL=11, Proto=UDP, Hop=*, RTT=1043.56ms
TTL=11, Proto=TCP, Hop=*, RTT=1022.90ms
TTL=11, Proto=ICMP, Hop=8.8.8.8, RTT=52.83ms
TTL=12, Proto=UDP, Hop=*, RTT=1033.99ms
TTL=12, Proto=TCP, Hop=*, RTT=1027.98ms
TTL=12, Proto=ICMP, Hop=8.8.8.8, RTT=53.53ms
TTL=12, Proto=UDP, Hop=*, RTT=1034.66ms
TTL=12, Proto=TCP, Hop=*, RTT=1061.63ms
TTL=12, Proto=ICMP, Hop=8.8.8.8, RTT=50.67ms
TTL=13, Proto=UDP, Hop=*, RTT=1030.15ms
TTL=13, Proto=TCP, Hop=*, RTT=1013.35ms
TTL=13, Proto=ICMP, Hop=8.8.8.8, RTT=45.01ms
TTL=13, Proto=UDP, Hop=*, RTT=1030.79ms
TTL=13, Proto=TCP, Hop=*, RTT=1062.96ms
TTL=13, Proto=ICMP, Hop=8.8.8.8, RTT=51.21ms
TTL=14, Proto=UDP, Hop=*, RTT=1038.83ms
TTL=14, Proto=TCP, Hop=*, RTT=1013.43ms
TTL=14, Proto=ICMP, Hop=8.8.8.8, RTT=50.49ms
TTL=14, Proto=UDP, Hop=*, RTT=1030.51ms
TTL=14, Proto=TCP, Hop=*, RTT=1031.02ms
TTL=14, Proto=ICMP, Hop=8.8.8.8, RTT=47.04ms
TTL=15, Proto=UDP, Hop=*, RTT=1064.47ms
TTL=15, Proto=TCP, Hop=*, RTT=1066.03ms
TTL=15, Proto=ICMP, Hop=8.8.8.8, RTT=49.30ms
TTL=15, Proto=UDP, Hop=*, RTT=1025.22ms
TTL=15, Proto=TCP, Hop=*, RTT=1025.28ms
TTL=15, Proto=ICMP, Hop=8.8.8.8, RTT=49.57ms
TTL=16, Proto=UDP, Hop=*, RTT=1035.07ms
TTL=16, Proto=TCP, Hop=*, RTT=1059.43ms
TTL=16, Proto=ICMP, Hop=8.8.8.8, RTT=49.93ms
TTL=16, Proto=UDP, Hop=*, RTT=1031.28ms
TTL=16, Proto=TCP, Hop=*, RTT=1031.81ms
TTL=16, Proto=ICMP, Hop=8.8.8.8, RTT=42.48ms
TTL=17, Proto=UDP, Hop=*, RTT=1043.25ms
TTL=17, Proto=TCP, Hop=*, RTT=1031.02ms
TTL=17, Proto=ICMP, Hop=8.8.8.8, RTT=51.05ms
TTL=17, Proto=UDP, Hop=*, RTT=1041.77ms
TTL=17, Proto=TCP, Hop=*, RTT=1038.44ms
TTL=17, Proto=ICMP, Hop=8.8.8.8, RTT=50.87ms
TTL=18, Proto=UDP, Hop=*, RTT=1053.13ms
TTL=18, Proto=TCP, Hop=*, RTT=1021.86ms
TTL=18, Proto=ICMP, Hop=8.8.8.8, RTT=52.28ms
TTL=18, Proto=UDP, Hop=*, RTT=1033.93ms
TTL=18, Proto=TCP, Hop=*, RTT=1015.34ms
TTL=18, Proto=ICMP, Hop=8.8.8.8, RTT=48.80ms
TTL=19, Proto=UDP, Hop=*, RTT=1023.49ms
TTL=19, Proto=TCP, Hop=*, RTT=1057.65ms
TTL=19, Proto=ICMP, Hop=8.8.8.8, RTT=49.71ms
TTL=19, Proto=UDP, Hop=*, RTT=1045.45ms
TTL=19, Proto=TCP, Hop=*, RTT=1043.76ms
TTL=19, Proto=ICMP, Hop=8.8.8.8, RTT=45.45ms
TTL=20, Proto=UDP, Hop=*, RTT=1031.57ms
TTL=20, Proto=TCP, Hop=*, RTT=1056.49ms
TTL=20, Proto=ICMP, Hop=8.8.8.8, RTT=45.66ms
TTL=20, Proto=UDP, Hop=*, RTT=1027.37ms
TTL=20, Proto=TCP, Hop=*, RTT=1026.92ms
TTL=20, Proto=ICMP, Hop=8.8.8.8, RTT=51.13ms
