TTL=16, Proto=ICMP, Hop=192.178.105.179, RTT=291.17ms
TTL=17, Proto=UDP, Hop=*, RTT=1030.39ms
TTL=17, Proto=TCP, Hop=*, RTT=1035.95ms
TTL=17, Proto=ICMP, Hop=142.251.61.41, RTT=286.98ms
TTL=17, Proto=UDP, Hop=*, RTT=1012.90ms
TTL=17, Proto=TCP, Hop=*, RTT=1023.18ms
TTL=17, Proto=ICMP, Hop=142.251.61.41, RTT=226.02ms
TTL=18, Proto=UDP, Hop=*, RTT=1057.22ms
TTL=18, Proto=TCP, Hop=*, RTT=1038.32ms
TTL=18, Proto=ICMP, Hop=142.250.190.14, RTT=239.84ms
TTL=18, Proto=UDP, Hop=*, RTT=1040.99ms
TTL=18, Proto=TCP, Hop=*, RTT=1027.56ms
TTL=18, Proto=ICMP, Hop=142.250.190.14, RTT=281.56ms
TTL=19, Proto=UDP, Hop=*, RTT=1022.98ms
TTL=19, Proto=TCP, Hop=*, RTT=1058.31ms
TTL=19, Proto=ICMP, Hop=142.250.190.14, RTT=270.26ms
TTL=19, Proto=UDP, Hop=*, RTT=1059.80ms
TTL=19, Proto=TCP, Hop=*, RTT=1041.66ms
TTL=19, Proto=ICMP, Hop=142.250.190.14, RTT=251.14ms
TTL=20, Proto=UDP, Hop=*, RTT=1034.34ms
TTL=20, Proto=TCP, Hop=*, RTT=1030.80ms
TTL=20, Proto=ICMP, Hop=142.250.190.14, RTT=218.21ms
TTL=20, Proto=UDP, Hop=*, RTT=1041.92ms
TTL=20, Proto=TCP, Hop=*, RTT=1029.09ms
TTL=20, Proto=ICMP, Hop=142.250.190.14, RTT=248.45ms
